2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,Genmodel_ID
45,70,5,0,0,75,96,56,18,6,0,37,56,69,175,210,62,0,0,23,743
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,881,366,750
0,0,1,0,0,0,0,0,0,0,0,0,685,1775,2172,2046,1237,2046,464,1198,744
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177,1016,871,170,568,745
3606,5115,5827,5527,4047,3190,8371,7497,6208,6524,6507,5507,5973,3298,1485,1837,2856,1875,331,178,746
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151,110,334,216,145,747
0,0,0,0,0,0,0,0,0,1,0,133,368,590,7105,6977,3992,1836,4003,2716,748
193,134,106,90,106,73,61,40,29,5,0,1,0,0,0,0,0,0,0,0,101
12,8,11,0,0,21,28,14,10,5,1,0,0,0,0,0,0,0,0,0,102
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,342,545,526,387,436,103
0,0,0,0,0,0,0,28,16,3,1,0,0,0,0,0,0,0,0,0,104
10,11,14,1111,1157,1033,1242,821,403,477,517,704,683,713,774,808,619,600,835,699,105
0,0,0,0,1,0,0,0,0,0,0,0,56,187,163,126,85,56,1,26,106
0,0,0,0,0,0,0,0,0,18,81,56,54,81,90,110,72,38,52,29,107
0,0,0,3541,12155,14621,16022,21738,24467,27149,25065,30517,36583,29722,30499,28879,27044,22628,23624,20764,81
0,0,0,0,0,0,0,0,0,0,0,0,1,4376,15197,19046,15426,18884,14842,9408,82
9056,13416,17630,17464,21106,29965,38244,31514,28532,32119,33730,37271,37365,34307,32799,32119,30716,25391,25262,19985,85
0,0,0,0,0,0,0,0,0,0,0,0,1617,13042,18745,18612,17039,15716,10539,4540,87
2583,3628,4039,5534,7985,10233,11657,9940,9401,10856,14663,15918,15512,16880,17442,15781,15263,19961,15789,8801,89
0,0,25,1290,1457,1569,1323,1206,645,569,667,1707,2130,2077,2018,1834,1296,2288,1035,227,811
393,281,486,445,739,1197,766,824,661,814,985,978,795,951,745,1518,1500,1374,1458,888,814
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,219,1209,1864,849
0,0,0,0,0,0,0,0,0,0,0,0,119,1205,1879,2131,3056,3491,4596,4204,827
0,0,0,0,0,0,0,0,0,0,0,0,0,201,644,447,232,389,248,80,828
0,0,0,0,0,0,0,0,1,0,1,318,1591,1755,1498,2724,4477,3998,3921,3350,848
0,0,0,0,0,0,0,0,0,0,0,0,0,974,1502,2358,2807,3010,2604,2636,829
309,1188,1866,1305,892,299,444,1111,659,623,721,746,630,238,581,777,952,855,561,1583,830
0,0,0,0,0,0,0,0,0,0,0,0,0,996,1940,1709,1925,2123,1798,1141,831
233,153,37,1,282,265,225,82,19,11,82,374,571,490,381,404,22,140,611,393,832
0,0,0,0,133,100,52,22,14,5,1,47,118,203,203,200,135,57,0,0,833
1,0,0,0,0,0,0,0,464,5212,6291,5601,7261,7873,4568,12247,13353,14626,13529,7396,835
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4880,6918,3420,836
0,0,2,3617,4145,4792,3331,2099,1663,1035,4370,7104,7296,6148,7001,8903,7931,8197,15773,7438,837
0,0,0,0,0,0,0,0,0,0,0,0,0,741,2052,2690,2136,2064,3998,1830,838
1212,2309,3655,4392,7064,4328,4410,3917,4381,4168,4405,4311,3543,5622,7306,6734,6345,7443,9055,5345,839
0,0,0,0,0,0,1,502,1008,816,809,1159,1236,1404,1282,1794,1338,2114,643,1077,841
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,523,664,850
1459,872,60,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,843
0,0,2585,3109,2139,3025,3172,1769,2433,1953,1885,1896,1582,1884,1561,1197,134,0,1928,1428,845
17,9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,847
0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111
0,0,0,0,0,56,90,44,59,19,0,0,0,0,0,0,0,0,0,0,141
0,0,0,0,21,29,31,9,16,8,0,3,0,0,0,1,0,0,1,0,142
2,8,8,8,2,2,17,3,7,4,1,2,0,0,4,6,3,5,1,0,143
0,0,0,0,0,0,0,8,8,2,1,0,0,0,0,0,0,0,0,0,145
0,0,0,0,0,0,0,1295,4605,1951,1504,1798,1475,132,0,0,0,0,0,0,162
0,0,0,0,0,0,0,0,1,2,0,16,24,10,2,4,28,21,29,0,164
0,0,0,0,0,0,444,1295,1058,2207,1412,1231,1146,195,0,0,0,1,0,0,165
0,0,0,0,0,0,0,0,0,0,0,0,2,16,4,3,18,12,14,0,166
0,0,0,0,0,0,0,0,438,1032,1382,1925,1522,554,1,0,0,0,0,0,167
0,0,0,0,0,0,0,53,126,7,12,0,0,0,0,0,0,0,0,0,168
0,0,0,0,1077,1252,1910,1398,9,0,0,0,0,0,0,0,0,0,0,0,1610
0,0,0,0,465,782,936,1130,1032,349,139,0,0,0,1,0,0,0,0,0,1611
0,0,0,0,1384,2336,3719,3630,5028,1176,1,0,0,0,0,0,0,0,0,0,1612
0,0,0,0,0,0,0,0,0,2,1566,2218,923,210,0,0,0,0,0,0,1613
0,0,0,0,0,0,0,0,1,3871,4300,4202,4208,880,8,0,0,0,0,0,1614
0,0,0,0,208,246,447,285,13,2,1,0,0,0,0,0,0,0,0,0,1616
0,0,0,0,0,0,0,0,0,0,0,0,1069,549,1,0,1,0,0,0,1618
0,0,0,0,0,0,0,0,0,0,0,52,58,2,0,0,0,0,0,0,1619
0,0,0,0,162,1510,1812,1106,592,624,2,0,0,1,2,0,0,0,0,0,171
0,0,0,0,0,0,0,0,0,0,0,163,154,46,1,0,0,0,0,0,171
0,0,172,900,606,553,247,28,2,0,0,0,0,0,0,0,0,0,0,0,172
0,0,0,0,0,0,0,0,0,0,190,533,45,7,0,0,0,0,0,0,173
0,0,0,0,0,0,0,0,0,0,0,0,324,479,3,0,0,0,0,0,174
83,68,74,15,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,175
278,348,613,679,828,998,969,158,2,0,0,0,0,0,0,0,0,0,0,0,177
6,4,1,1,2,0,154,437,495,3,0,0,0,0,0,0,0,0,0,0,178
296,383,804,1058,1968,2545,1806,1457,679,490,515,371,0,1,0,0,0,0,0,1,179
0,0,0,0,0,0,0,0,0,0,280,1810,1744,1322,122,0,0,0,0,0,1710
977,2050,3382,3898,3352,3184,2671,3023,5581,3470,3289,4226,4182,3672,3354,3224,2173,2393,3485,1701,182
0,0,0,0,1067,6788,9916,12482,13160,13849,14241,14000,14089,13565,17960,18096,8700,6950,5272,3734,186
0,0,448,3772,4252,3995,4173,3183,3201,370,2,0,0,0,0,0,0,0,0,0,187
1,2861,7594,8685,9608,9398,9758,7871,12376,21664,17470,16345,14408,14612,12819,11003,19398,24099,22544,12166,188
1,0,0,115,3411,5431,15454,17460,11798,11256,10606,10971,13689,22378,29255,25948,15888,12323,8814,3524,1812
280,772,973,999,844,1080,923,2427,3385,1918,830,472,396,246,210,103,0,22,6499,5086,1815
0,0,0,0,3,76,147,79,81,36,3,5,0,0,0,0,0,0,0,0,1816
0,1,146,287,433,510,528,350,203,47,0,0,0,1,0,0,0,0,0,0,1817
0,0,0,0,0,0,347,901,677,542,38,17,0,0,0,0,0,0,0,0,184
0,0,0,0,0,0,0,0,0,0,36,85,52,3,1,22,6,0,1,0,185
0,9,7,22,67,84,96,169,254,249,151,184,243,342,284,112,86,22,93,1,1818
0,0,0,0,0,0,0,0,2,4662,10242,15543,18843,18543,8557,18,0,0,0,0,211
0,0,0,0,0,0,0,0,0,0,1315,2618,3903,2369,1140,11,0,1,0,0,213
0,0,0,0,0,0,0,0,0,0,2,1233,1892,1093,403,0,0,0,0,0,215
0,0,0,0,0,0,0,0,1241,971,562,345,13,0,0,0,0,0,0,0,1825
2070,2033,1539,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1826
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,419,895,717,229,1827
131,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1828
46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1831
2902,4558,6125,9068,9813,12569,10704,5285,3538,1703,1,0,1,0,1,0,0,0,0,0,1829
0,0,0,0,4,0,10,1,6,0,0,0,0,0,0,0,0,0,0,0,191
0,0,0,0,0,0,0,0,0,0,1,10,6910,5944,5994,7097,6276,8538,14571,8264,221
0,0,0,0,0,0,0,0,0,0,0,0,462,2270,3192,2824,2271,1783,2284,794,222
0,0,0,0,0,0,0,0,0,0,0,18,7906,13608,15371,15091,14937,12542,12748,9344,223
0,2,517,758,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,231
0,0,0,178,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,232
82,87,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236
